アンガールズの「ジャンガジャンガ」やだいたひかるの「ど～でもいいですよ～」などのように、お笑いにおいてテンポを整えるためにネタとネタの間に挟むフレーズのことを何というでしょう？,ブリッジ,,,,
以前は「リフティング」と呼ばれていた、競歩において、両足が地面から離れてしまう反則を何というでしょう？,ロス・オブ・コンタクト,,,,
本名をウィリアム・トムソンという、絶対温度の単位にも名前を残すイギリスの物理学者は誰でしょう？,ケルビン[Kelvin],,,,
2004年公開の映画『ネバーランド』にその生涯が描かれている、童話『ピーター・パン』の作者として知られるイギリスの作家は誰でしょう？,ジェームズ・マシュー・バリー,,,,
イギリスがインドネシアから撤退するきっかけとなった、1623年、オランダがイギリス商館を襲撃した事件のことを、舞台となった島の名前から「何事件」というでしょう？,アンボイナ事件,,,,
グラフェン、グラファイト、フラーレン、ダイヤモンドといえば、いずれも何という元素の同素体でしょう？,炭素,,,,
浅虫温泉、大鰐温泉、酸ヶ湯温泉（すかゆおんせん）といえば、いずれもどこの都道府県にある温泉でしょう？,青森県,,,,
その背番号44番はロサンゼルス・レイカーズの永久欠番となっている、NBAのロゴのモチーフとなったことで有名なアメリカのバスケットボール選手は誰でしょう？,ジェリー・ウェスト,,,,
都道府県庁所在地でない日本の市の中で、その人口が最大なのはどこでしょう？,川崎市,,,,
梶井基次郎の小説『檸檬』で、主人公が檸檬を置いて立ち去るのは何という本屋でしょう？,丸善,,,,
友人の安井から妻を得たことで後ろめたさを感じている、夏目漱石の代表作『門』の主人公は誰でしょう？,野中宗助,,,,
黄リンと赤リンのうち、空気中で自然発火するのはどちらでしょう？,黄リン,,,,
ヒマワリの種の配列などに見られる、ある項の2つ前と1つ前に現れる数を足し合わせて続く数列のことを、イタリアの数学者の名前を用いて「何数列」というでしょう？,フィボナッチ数列,,,,
カクテルで、ゴッドファーザーのベースは「ウィスキー」ですが、ゴッドマザーのベースとなっているお酒は何でしょう？,ウォッカ,,,,
エビフライなどを作る前に施す、加熱によってエビの身が曲がらないようにする下処理のことを何というでしょう？,腰折り,,,,
江戸時代、大相撲は幕府の公認のもとで行われていたことから、番付表の中央に書かれている言葉は何でしょう？,蒙御免（ごめんこうむる）,,,,
地図における等高線の中でも、特に太い実線で表されるもののことを何というでしょう？,計曲線,,,,
西暦2000年の時に即位していた天皇は「今上天皇」ですが、西暦1000年の時に即位していた天皇は誰でしょう？,一条天皇,,,,
演劇において、役者が1人で話すセリフを「モノローグ」といいますが、2人で話すセリフを何というでしょう？,ダイアローグ【「ダイアログ」も○】,,,,
ティモール島の東側を領有している国は「東ティモール」ですが、西側を領有している国はどこでしょう？,インドネシア共和国,,,,
釣りの方法・サビキ釣りにおいて、カゴに入れて水中にまく餌のことを何というでしょう？,コマセ,,,,
漫画『北斗の拳』において、ケンシロウの胸に7つの傷をつけた、南斗聖拳の使い手は誰でしょう？,シン,,,,
富士山の雪どけ水が湧き出て形成された、山梨県南都留郡にある鏡池、濁池、出口池などの8つの池のことを総称して何というでしょう？,忍野八海,,,,
『マイ・レフトフット』、『ゼア・ウィル・ビー・ブラッド』に続き、今年（2013年）、『リンカーン』でアカデミー主演男優賞を受賞し、史上初めて同賞を3度受賞したアメリカの俳優は誰でしょう？,ダニエル・デイ＝ルイス,,,,
韓国・済州島にある、標高1950mと韓国の最高峰である山は何でしょう？,漢拏山（ハンラさん）【「ハルラさん」も○】,,,,
ある国内の土地であるにも関わらず、その国の権力がまったく及ばず、外国の法律が適用されるという特権のことを何というでしょう？,治外法権,,,,
茶道で、茶室に入る前に手を洗うための鉢のことを何というでしょう？,つくばい,,,,
「幾重にも曲がりくねった山道」のことを、あるツル性の植物の名前から何というでしょう？,葛折り,,,,
毎年8月5～7日まで山形市で行われる、七夕まつり、ねぶた祭、竿灯まつりとともに東北四大祭りに数えられる祭りは何でしょう？,花笠まつり【「山形花笠まつり」も○】,,,,
ボート競技のエイトにおいて9人目として乗り込む、舵取り役の選手を何というでしょう？,コックス,,,,
京都府にある大江山に住んでいた盗賊で、源頼光らによって退治されたことで知られるのは誰でしょう？,酒呑童子,,,,
槍の練習に使われる、綿を丸めた玉が先端に付いた槍のことを特に「何槍」というでしょう？,たんぽ槍,,,,
サッカーのU-12（アンダー・トゥウェルヴ）以下で使用されている、選手やチームの頑張りを褒めるために提示されるカードのことを、その色から「何カード」というでしょう？,グリーンカード,,,,
インド・オーストラリアプレートと太平洋プレートの境界を成している、深さ10800mと世界で2番目に深い海溝は「何海溝」でしょう？,トンガ海溝,,,,
世界的に用いられているビューフォート風力階級は、全部で何段階に分かれているでしょう？,13段階,,,,
食用にされる海藻で、コンブは「コンブ科」ですが、ワカメは何科でしょう？,チガイソ科,,,,
登録商標の関係から「アイラッシュ・カーラー」と呼ばれることもある、まつげを挟んで反り返らせるための道具を何というでしょう？,ビューラー,,,,
生物の進化の過程において、その間に存在すると考えられている未発見の化石証拠や生物のことを何というでしょう？,ミッシングリンク,,,,
星型、ひょうたん型、壺型などの型がある、男女別に年齢ごとの人口を表したグラフのことを何というでしょう？,人口ピラミッド,,,,
松前藩が設置される原因となった、1457年に起こったアイヌ人の武装蜂起のことを、首謀者の名前から「何の戦い」というでしょう？,コシャマインの戦い,,,,
日本に現存する設計物は「聖心女子学院の正門」と「原爆ドーム」のみである、1907年に来日したチェコの建築家は誰でしょう？,ヤン・レツル,,,,
主人公・国岡鐵造のモデルは、出光興産の創業者・出光佐三である、今年（2013年）4月、「第10回本屋大賞」で大賞を受賞した百田尚樹（ひゃくた・なおき）の小説は何でしょう？,『海賊とよばれた男』,,,,
「氷の張った水の底でも魚が活動できる安らぎの温度」ということから名付けられた、1972年に設立された日本のジュエリーブランドは何でしょう？,4℃,,,,
今年（2011年）3月から統一された、スーパーマーケット「ポスフール」、「サティ」、「ジャスコ」の新たな名前は何でしょう？,イオン,,,,
最多優勝回数はパスクアーレ・フォルナーラの4回である、グランツールにこれを加え、「世界四大ツール」とも呼ばれるロードレースは何でしょう？,ツール・ド・スイス,,,,
チレボン、スンダ、ジャワ、バリなどの様式がある、インドネシアで行われている打楽器を中心とした伝統音楽は何でしょう？,ガムラン,,,,
大ボケの菅良太郎（かん・りょうたろう）、小ボケの尾形貴弘（おがた・たかひろ）、ツッコミの向井慧（むかい・さとし）から成る、吉本興業所属のお笑いトリオは何でしょう？,パンサー,,,,
第1部「現存在の解釈と時間の解明」と第2部「存在論の歴史の現象学的解体」から成る、存在論の実体について述べたマルティン・ハイデッガーの著書は何でしょう？,『存在と時間』,,,,
1846年に起こった「米墨戦争」とは、アメリカと何という国の戦争でしょう？,メキシコ合衆国,,,,
気象庁の定義による「瞬間風速」とは、何秒間の平均風速のことをいうでしょう？,3秒,,,,
昨年（2010年）改訂された常用漢字表において、画数が29画と最も多い文字は何でしょう？,鬱,,,,
SI基本単位と呼ばれる7つの単位のうち、唯一アルファベット3文字で表記されるものは何でしょう？,モル[mol],,,,
イエス・キリストが処刑前に行った『最後の晩餐』は、何曜日に行われた出来事でしょう？,木曜日,,,,
人頭税であるジズヤの復活など、イスラム世界における融和政策を破壊したことやムガル帝国最大の領土を築き上げたことで知られる、同帝国第6代皇帝は誰でしょう？,アウラングゼーブ・アーラムギール[Owrangzēb‘Ālamgīr]【「アーラムギール1世[AlamgirⅠ]」も○】,,,,
よく恐竜の名前には「ザウルス」という言葉が付きますが、これはラテン語でどんな動物を指す言葉でしょう？,トカゲ,,,,
トランプのキングの中で唯一横を向いており、かつ、斧を持っているのはどのスートのものでしょう？,ダイヤ,,,,
空気中、水中、地中のうち、音が最も早く伝わるのはどれでしょう？,地中,,,,
F1などのモータースポーツにおいて、車の停止位置を示す枠線のことを何というでしょう？,グリッド,,,,
飛行機の乗り継ぎに際し、乗り継ぎ地点に24時間以上滞在することを何というでしょう？,ストップオーバー【「レイオーバー」「途中降機」も○】,,,,
クラウドコンピューティングに対し、従来のように使用者のコンピューターにデータを保存する使用形態を何というでしょう？,オンプレミス,,,,
ミュージカル『サウンド・オブ・ミュージック』の挿入歌のタイトルにもなっている、ドイツ語で「高貴な白」という意味があるキク科の植物は何でしょう？,エーデルワイス[Edelweiss],,,,
将棋において銀将がジグザグに動くことを、フラフラと動く様子から何というでしょう？,千鳥,,,,
ハリモグラとカモノハシのみがこれにあたる、卵生である哺乳類のことを総称して「何類」というでしょう？,単孔類【「一穴類」も○】,,,,
建築物における建蔽率と容積率のうち、値が100％を超えることもあるのはどちらでしょう？,容積率,,,,
2006年3月17日に就役した、全長241mと日本国籍の客船で最大である、郵船クルーズが保有する客船は何でしょう？,飛鳥Ⅱ（あすかツー）【飛鳥のみはもう一度】,,,,
かつて「魚は眠らない」と信じられていたことからその名がついた、僧侶がお経を読むときなどに打ち鳴らして眠気を覚ますための道具は何でしょう？,木魚,,,,
料理などで使った熱によってレンガを熱し、その放射熱で部屋を暖めるという、ロシアの伝統的な暖房設備は何でしょう？,ペチカ,,,,
陸上の短距離走において「追い風参考記録」とみなされるのは、追い風の風速が何m以上の時でしょう？,2.0m,,,,
化学式C10H13N4O8Pで表される、鰹節の旨味として知られる化学物質は何でしょう？,イノシン酸,,,,
柔道理論の実践を重要視し、「理論の嘉納、実践のこの人」と呼ばれた、踵返し（きびすがえし）や空気投げなどの新技を編み出した柔道家は誰でしょう？,三船久蔵,,,,
ジンジャーエールにグレナデンシロップを加えたカクテルにも名を残す、1935年、わずか6歳でアカデミー特別賞を受賞し、アカデミー賞史上最年少の受賞者となった人物は誰でしょう？,シャーリー・テンプル,,,,
多田行綱の密告によって失敗に終わった、1177年、僧侶・俊寛（しゅんかん）などが企てた平氏打倒計画のことを、密談が行われた場所から「何の陰謀」というでしょう？,鹿ヶ谷の陰謀（ししがたにのいんぼう）,,,,
信濃川水系と利根川水系の分水嶺となっている峠で、JR横川駅の駅弁「峠の釜めし」の「峠」が指しているのは何でしょう？,碓氷峠,,,,
「灯りを消してくれ、私はもう眠い」という言葉を最後に亡くなった、1979年、イラン革命を指導してパフラヴィー朝を滅ぼした同国の革命家は誰でしょう？,ルーホッラー・ホメイニ,,,,
英語で、「正統的なもの」をオーソドックスというのに対し、「異端なもの」を何というでしょう？,ヘテロドックス,,,,
世界に生息しているウサギを大きく2つの科に分けると、ウサギ科と何でしょう？,ナキウサギ科,,,,
渡し賃は6文であり、「賽の河原」と呼ばれる河原があるとされる、あの世とこの世を隔てる川は何でしょう？,三途の川,,,,
古代中国において、温和に君主が交代することを「禅譲」といったのに対し、武力によって君主が交代することを漢字2文字で何といったでしょう？,放伐,,,,
1628年、著書『動物における血液と心臓の運動について』で血液循環説を提唱したことで知られる、イギリスの医学者は誰でしょう？,ウィリアム・ハーヴェー,,,,
読者が悲しみのため次々に出家し、天皇の命により焼き払ったという伝承が残る、『源氏物語』で唯一、巻名のみが伝わっている作品は何でしょう？,『雲隠』,,,,
元素周期表の第11族に属する元素は、銅、銀、金と何でしょう？,レントゲニウム,,,,
「～でございます」を「～でありんす」のように、全国から集められた遊女たちが地方の訛りを隠すために生まれた遊女独特の言葉を何というでしょう？,廓詞（くるわことば）【「里詞」「花魁詞」も○】,,,,
春の七草に数えられる植物の中でアブラナ科に属しているのは、スズナ、スズシロと何でしょう？,ナズナ【ぺんぺん草】,,,,
結婚指輪などのように宝石を1つもはめ込んでいない指輪のことを、ある食品を用いて何というでしょう？,カマボコ,,,,
「人気のバロメーター」などという時の「バロメーター」とは、元々何を計測するための装置でしょう？,気圧,,,,
野球やサッカーにおける「退場」のことを、水球では特に何というでしょう？,退水,,,,
今年（2011年）9月に行われた『キングオブコント2011』で優勝した、山本博（やまもと・ひろし）、秋山竜次（あきやま・りゅうじ）、馬場裕之（ばば・ひろゆき）の3人から成るお笑いトリオは何でしょう？,ロバート,,,,
第二次世界大戦の戦犯を裁くために行われた二大国際軍事裁判とは、東京裁判と何でしょう？,ニュルンベルク裁判,,,,
てこの原理における3つの点とは、支点、力点と何でしょう？,作用点,,,,
点の数や大きさによって人口などの分布を把握するための地図を何というでしょう？,ドットマップ,,,,
日本では日本国際問題研究所などがこれに当たる、ある分野の専門家を集め、国の政策決定などに際しアドバイスを行う集団のことを何というでしょう？,シンクタンク,,,,
経済の「ジョン・ベイツ・クラーク賞」と数学の「フィールズ賞」に共通する受賞条件は「何歳以下」でしょう？,40歳,,,,
捕えた獲物を木の枝などに刺しておくという、モズの習性を何というでしょう？,はやにえ,,,,
ビームライフルにおける2つの射撃姿勢とは、立射と何でしょう？,肘射（ちゅうしゃ）,,,,
粘土や木で作った土台の上に布を貼り付け、漆を塗って固めて作る彫刻の制作法を「何造」というでしょう？,乾漆造,,,,
地震解析の際に使われる、縦軸に揺れの到達時刻、横軸に震源からの距離をとり、その関係を表した曲線のことを「何曲線」というでしょう？,走時曲線,,,,
脳内のβ-エンドルフィンが増加することによって起こる、マラソンなどで長時間走り続けると気分が高揚してくる現象を何というでしょう？,ランナーズハイ,,,,
「君主は自らが先頭に立って国を近代化させていくべきだ」という意味を込め、フリードリヒ2世が述べた有名な言葉は何でしょう？,君主は国家第一の下僕,,,,
世界にある国のうち、左側通行の国と、右側通行の国では、どちらが多いでしょう？,右側通行の国,,,,
ラジオでは聞きたいチャンネルに周波数を合わせること、オーケストラでは楽器の音を調律することに共通する言葉は何でしょう？,チューニング,,,,
福島県の荒海山（あらかいやま）に端を発し日本海へ注ぐ全長210kmの川で、この川の流域で新潟水俣病が発生したことで知られるのは何でしょう？,阿賀野川,,,,
江戸町奉行所によって興行を許された江戸三座と呼ばれる芝居小屋は、中村座、森田座と何でしょう？,市村座,,,,
日本の中国地方にある3つの世界遺産とは、原爆ドーム、厳島神社と何でしょう？,石見銀山遺跡とその文化的景観【「石見銀山」が出れば○】,,,,
1961年、ダグ・ハマーショルドの急死に伴い国連事務総長に就任した、国連大学設立の提唱などで有名なミャンマーの政治家は誰でしょう？,ウ・タント,,,,
三角形の垂心、外心、重心を通る直線のことを、発見したスイスの数学者の名前から何というでしょう？,オイラー線,,,,
将棋において、離れた場所から王手をかけられた際、王将を守るために進路を遮るようにして置かれる駒のことを特に何というでしょう？,間駒,,,,
草食動物と肉食動物のうち、通常、腸がより長いのはどちらでしょう？,草食動物,,,,
現在、日本に政令指定都市はいくつあるでしょう？,20,,,,
天気予報で、降雨量を表す単位は「ミリメートル」ですが、降雪量を表す単位は何でしょう？,センチメートル,,,,
岡山市、倉敷市に次いで、岡山県にある都市で3番目に人口が多いのはどこでしょう？,津山市,,,,
テレビや映画の撮影において、被写体に光を反射させるために用いる板のことを何というでしょう？,レフ板,,,,
『東方見聞録』を口述し、その中で「黄金の国ジパング」という言葉を使ったことで有名な、イタリアの探検家は誰でしょう？,マルコ・ポーロ,,,,
オリンピックのサッカーにおいて「オーバーエイジ枠」とは、何歳以上の選手が対象になるでしょう？,23歳,,,,
元々は「武士などにおける領地の大きさ・給与の多さ」を指していた、現在では「人間的な威厳・風格」を意味する言葉は何でしょう？,貫禄,,,,
「ある人を憎むと、その人に関係するすべてのことが憎くなる」という意味の諺は、「坊主憎けりゃ何まで憎い」でしょう？,袈裟,,,,
飛行機での移動において、往路や復路の発着地が異なることを英語で何というでしょう？,オープンジョー,,,,
日本の市町村に当たるものを、フランスでは「コミューン」、イタリアでは「コムーネ」といいますが、ドイツでは何というでしょう？,ゲマインデ,,,,
1870年、弘文天皇の名が与えられ正式な天皇として認められた、壬申の乱において大海人皇子と戦った人物といえば誰でしょう？,大友皇子,,,,
2006年から献血手帳に代わって導入された、献血をした履歴などが記録されている献血カードの愛称は何でしょう？,愛-Ca（アイカ）,,,,
ロンドンにある監獄で囚人が退屈しのぎに始めたとされる、四方を壁に囲まれたコートで交互に球を打ち合うスポーツは何でしょう？,スカッシュ,,,,
結んだ形がセミのように見えることから「蝉形ネクタイ」とも呼ばれる、フロックコートなどと一緒に着用される幅広のネクタイを何というでしょう？,アスコットタイ,,,,
ドイツでは「ラ・ベル・アリアンスの戦い」と呼ばれる、ナポレオン最後の戦いとして有名な、1815年に起こった戦いは何でしょう？,ワーテルローの戦い,,,,
ロックやヘビーメタルなどのライブにおいて、盛り上がった観客がジャンプしたりしておしくらまんじゅうのような状態になることを何というでしょう？,モッシュ,,,,
今年（2021年）10月4日に就任した、現在の日本の内閣総理大臣は誰でしょう？,岸田文雄,,,,
全国5ヶ所の証券取引所において、午前の取引開始時刻は「午前9時」ですが、午後の取引開始時刻は何時何分でしょう？,12時30分【「午後0時30分」「12時半」「午後0時半」も○】,,,,
太平洋戦争中は陸軍学校や海軍学校で武術の指導を行っていた、合気道の創始者として知られる日本の武道家はは誰でしょう？,植芝盛平,,,,
推理小説において、孤島や吹雪の山小屋など、外界との往来が断たれた状況で起こる事件を描いたものを特に何というでしょう？,クローズド・サークル,,,,
歴史書『大鏡』において、宮廷の歴史を語り合う2人の老人とは大宅世継と誰でしょう？,夏山繁樹,,,,
今から200年前の1813年に亡くなった、2つの天体の間に5つ存在する重力平衡点に名を残すフランスの天文学者は誰でしょう？,ジョセフ＝ルイ・ラグランジュ,,,,
現在はパリのマルモッタン美術館が所蔵している、ル・アーヴルの港から昇る太陽を描いたクロード・モネの絵画で、「印象派」の由来となったのは何でしょう？,『印象・日の出』,,,,
舞台の端に位置し、客席から見えなくなっている場所のことを、服の一部にたとえて何というでしょう？,舞台袖【袖で○】,,,,
アンダンテとアレグロの中間にあたる、「中間の速さで」という意味がある速度記号は何でしょう？,モデラート,,,,
父は金田一耕助役で人気を博した俳優・片岡千恵蔵である、先月、JAL・日本航空の代表取締役社長に就任した実業家は誰でしょう？,植木義晴（うえき・よしはる）,,,,
アメリカ陸軍直属の特殊部隊のことを、着用している帽子の色から何というでしょう？,グリーンベレー,,,,
本名をウィリアム・シドニー・ポーターというアメリカの小説家で、代表作に『賢者の贈り物』や『最後の一葉』などがあるのは誰でしょう？,オー・ヘンリー[O. Henry],,,,
ロシア帝国皇帝として初めて「ツァーリ」という称号を用いたことや、残忍な政治を行ったことから「雷帝」と呼ばれることで知られるロシア帝国皇帝は誰でしょう？,イワン4世[Ivan IV],,,,
渦巻銀河の中心部にある膨らんだ部分のことを何というでしょう？,バルジ【「銀河バルジ」も○】,,,,
日本の歴代総理大臣の中で名前が「夫」という漢字で終わる人物は、三木武夫、福田赳夫、福田康夫（ふくだ・やすお）と誰でしょう？,鳩山由紀夫,,,,
2004年のアテネ、2008年の北京オリンピック・女子レスリング55kg級で金メダルを獲得している、昨年（2010年）行われた「レスリング全日本女子選手権」で優勝し9連覇を達成した選手は誰でしょう？,吉田沙保里（よしだ・さおり）,,,,
枕詞とは異なり、文字数やかかる言葉が自由であるという特徴がある、ある言葉を引き出すために置かれる言葉のことを何というでしょう？,序詞,,,,
プロ野球チームで、ベネズエラの「カラカス」、中国の「天津」、韓国の「三星（サムスン）」、日本の「埼玉西武」といえば、共通するチーム名は何でしょう？,ライオンズ,,,,
競泳における泳法で、個人メドレーでは3番目、メドレーリレーでは2番目に泳ぐものは何でしょう？,平泳ぎ,,,,
これが長く続くと冷害の原因となる、東北地方の太平洋側に吹き付ける、冷たい北東の風を何というでしょう？,やませ,,,,
「幼馴染の男女が結婚すること」を、『伊勢物語』第23段の内容から何というでしょう？,筒井筒,,,,
詩の題材としてよくカエルを扱ったことや、黒い点1つで書かれた『冬眠』などで知られる、日本の詩人は誰でしょう？,草野心平,,,,
男子プロテニス協会を「ATP」といいますが、女子プロテニス協会をアルファベット3文字で何というでしょう？,WTA,,,,
企業が設備投資を行うために発生するとされる、約10年を1周期とする景気循環の波を、提唱した経済学者の名前から何というでしょう？,ジュグラーの波,,,,
刀をゆっくりと一回転させてから相手を斬るという、柴田錬三郎の小説『眠狂四郎』において、主人公・眠狂四郎が繰り出す必殺技は何でしょう？,円月殺法,,,,
軍医としてインドネシアに渡り、1891年にジャワ原人の化石を発見したことで有名なオランダの医師・人類学者は誰でしょう？,ウジェーヌ・デュボワ【ユージン・デュボワ】,,,,
労働組合法第7条によって禁止されている、労働者が労働組合に加入しないことを条件に雇う契約のことを何というでしょう？,黄犬契約,,,,
東北地方の行事「芋煮会」や、ことわざ「芋を洗うよう」という時の「芋」とは、ともに何という芋のことでしょう？,サトイモ,,,,
「困難に出会ってこそ、初めてその人物の真価が問われる」ということわざを、「疾風に何を知る」というでしょう？,勁草,,,,
1919年にアメリカで発布された禁酒法のことを、当時の下院司法委員長の名前から何というでしょう？,ボルステッド法,,,,
1945年8月20日に亡くなった、関東大震災直後の混乱に乗じてアナーキスト大杉栄らを殺害したことで知られる日本の軍人は誰でしょう？,甘粕正彦,,,,
本拠地をキャンドルスティック・パークに置くNFLのチームで、そのチーム名はゴールドラッシュで人々が入植し始めた年にちなむのは何でしょう？,サンフランシスコ49ers（サンフランシスコ・フォーティナイナーズ）,,,,
その明るさは「レイリー」という単位によって表される、地球の高緯度地域で見られる光のカーテンといえば何でしょう？,オーロラ【「極光」「赤気」も○】,,,,
タレント・春香クリスティーン（はるか・－）は、日本とどこの国のハーフでしょう？,スイス連邦,,,,
著書『北方古代文化入門』の中で、石器時代、青銅器時代、鉄器時代という三時代区分法を提唱した、デンマークの考古学者は誰でしょう？,クリスチャン・トムセン[Christian Thomsen],,,,
ポロの時間の単位・チャッカは、何分間を1とするでしょう？,7分間,,,,
山梨県小菅村（こすげむら）と甲州市の境に位置する、中里介山の小説のタイトルになっていることで有名な峠は何でしょう？,大菩薩峠,,,,
カナダの歯科医ウィリアム・ビアズによって現在のルールが定められた、先端に網が付いた棒を用いてボールを相手ゴールにシュートするスポーツは何でしょう？,ラクロス,,,,
JR東日本が運行する新幹線はやぶさで導入されている、飛行機のファーストクラス級のサービスを提供する特別車両のことを何というでしょう？,グランクラス【「スーパーグリーン車」は×】,,,,
1180年から1235年までに起こった出来事が克明に記載されている、藤原定家が著した日記は何でしょう？,『明月記』【『照光記』も○】,,,,
血液採取の際に腕に巻く、静脈を浮き立たせるためのゴムひものことを何というでしょう？,駆血帯,,,,
建築家カルロス・ペレグリーニによって設計された、オペラ座、スカラ座とともに「世界三大劇場」に数えられるブエノスアイレスの劇場は何でしょう？,コロン劇場【「テアトロ・コロン」も○】,,,,
塩素や塩化水素など、水に溶けやすく空気より重い気体を集める時に用いる、乾いた容器の底へと気体を導く採取法を何というでしょう？,下方置換【「下方置換法」も○】,,,,
用事のない者はこの線を越えてはならないとされる、イギリス下院議会の床に引かれた2本の赤い線のことを何というでしょう？,ソードライン【剣線】,,,,
代表作に『ガラテイアの勝利』や『アテナイの学堂』がある、レオナルド・ダ・ヴィンチ、ミケランジェロ・ブオナローティとともに「ルネサンスの三大巨匠」と呼ばれるイタリアの画家は誰でしょう？,ラファエロ・サンティ[Raffaello Santi],,,,
古代日本において男性が結っていた、髪を左右に分け、耳の横でくくって垂らす髪型を何というでしょう？,角髪（みずら）【つのがみ、びずら、総角（あげまき）】,,,,
その構えや動作から「ロシアの合気道」と呼ばれることもある、ミハイル・リャブコによって創始されたロシアの格闘術は何でしょう？,システマ,,,,
セパレーテッド・カラー・シャツやカラー・ディファレント・シャツなどともいわれる、袖と襟の部分が白無地で、それ以外が色柄となっているシャツのことを、「聖職者」を意味する英語で「何シャツ」というでしょう？,クレリックシャツ,,,,
アメリカ競馬クラシック三冠といわれるレースは、プリークネスステークス、ベルモントステークスと何でしょう？,ケンタッキーダービー,,,,
現在までに唯一フィールズ賞を辞退した人物である、ポアンカレ予想を解決したことで知られるロシアの数学者は誰でしょう？,グリゴリー・ペレルマン[Grigory Perelman],,,,
今年（2012年）4月、長谷川町子に次いで女性漫画家として2人目となる紫綬褒章受章者となった、代表作に『ポーの一族』や『11人いる！』などがある人物は誰でしょう？,萩尾望都,,,,
大気汚染や乾燥に強く、よく街路樹として用いられる、葉っぱがタケ、花がモモに似ていることから名付けられた植物は何でしょう？,キョウチクトウ,,,,
現在はJKA川口オートレース場に所属しているオートレーサーで、1996年までは音楽ユニット・SMAPの一員であったことで有名なのは誰でしょう？,森且行（もり・かつゆき）,,,,
ピョートル・チャイコフスキーのバレエ音楽『眠れる森の美女』の原作や、童話『長靴をはいた猫』などの作者として知られる、フランスの作家は誰でしょう？,シャルル・ペロー[Charles Perrault],,,,
ヒマラヤ山脈に端を発し、ベンガル湾に注ぐ全長約2500kmの川で、多くのヒンドゥー教徒がここで沐浴を行うことで有名なのは何でしょう？,ガンジス川,,,,
「これはある精神病院の患者、――第二十三号がだれにでもしゃべる話である。」という書き出しで始まる、ある妖怪の世界に迷い込んだ第二十三号という人物の姿を描いた、芥川龍之介の小説は何でしょう？,『河童』,,,,
カッコウの托卵の習性などを研究した功績でも知られるイギリスの医学者で、天然痘のワクチンを開発したことで有名なのは誰でしょう？,エトワード・ジェンナー,,,,
悔しがる時には鳴らし、相手を倒そうと待ち構える時には研ぎ、敵意をあらわにする時には剥くといわれる体の部分は何でしょう？,牙,,,,
今年（2011年）結成20周年を記念して活動を再開した、増﨑孝司（ますざき・たかし）、宇徳敬子（うとく・けいこ）、坪倉唯子（つぼくら・ゆいこ）、近藤房之助（こんどう・ふさのすけ）、の4人から成る音楽ユニットで、代表曲に『ドレミファだいじょーぶ』や『おどるポンポコリン』などがあるのは何でしょう？,B.B.クイーンズ,,,,
ジャン＝バティスト・カミーユ・コローやジャン＝フランソワ・ミレーなど、1830年頃に誕生した絵画の一派のことを、彼らが住んだ村の名前から「何派」というでしょう？,バルビゾン派,,,,
よく似た言葉の「公示」と「告示」のうち、国会議員の選挙に対して用いられるのはどちらでしょう？,公示,,,,
